customer_id,application_date,age,gender,employment_status,annual_income,monthly_income,loan_amount,interest_rate,loan_term,emi,dti,credit_score_origination,revolving_utilization_origination,credit_inquiries_12m,deterioration_pattern,default_12m,vintage_year,vintage_month
CUST100000,2022-04-08,42,Male,Self-Employed,83834.0,6986.17,50000.0,12.33,36,1668.61,0.35,720,0.433,0,stable,0,2022,2022-04
CUST100001,2024-04-28,35,Female,Employed,56472.0,4706.0,50000.0,10.98,48,1291.79,0.41,658,0.25,1,gradual_decline,0,2024,2024-04
CUST100002,2023-12-19,44,Male,Employed,165696.0,13808.0,50000.0,9.71,84,822.59,0.44,801,0.339,2,stable,0,2023,2023-12
CUST100003,2023-04-27,41,Female,Employed,79943.0,6661.92,50000.0,14.42,36,1719.1,0.38,743,0.617,0,gradual_decline,0,2023,2023-04
CUST100004,2023-04-20,28,Female,Employed,160442.0,13370.17,52071.0,10.81,36,1700.06,0.1,662,0.215,1,stable,0,2023,2023-04
CUST100005,2024-07-30,32,Male,Employed,67403.0,5616.92,50000.0,11.32,36,1644.52,0.28,602,0.514,3,sudden_shock,1,2024,2024-07
CUST100006,2022-04-05,28,Female,Employed,84087.0,7007.25,50000.0,11.05,72,952.98,0.3,658,0.499,1,gradual_decline,0,2022,2022-04
CUST100007,2024-02-04,26,Female,Employed,93039.0,7753.25,50000.0,10.81,48,1287.67,0.3,686,0.232,0,stable,1,2024,2024-02
CUST100008,2022-08-09,56,Female,Employed,72986.0,6082.17,50000.0,11.42,48,1302.5,0.14,700,0.107,2,sudden_shock,0,2022,2022-08
CUST100009,2022-04-14,48,Male,Employed,220137.0,18344.75,76387.0,14.92,48,2122.81,0.31,603,0.293,2,stable,0,2022,2022-04
CUST100010,2023-08-01,44,Male,Employed,89041.0,7420.08,50000.0,12.59,36,1674.84,0.31,703,0.066,3,stable,0,2023,2023-08
CUST100011,2024-12-05,38,Female,Employed,97320.0,8110.0,50000.0,14.23,48,1372.1,0.34,685,0.249,1,stable,0,2024,2024-12
CUST100012,2024-03-17,30,Female,Employed,192926.0,16077.17,50000.0,11.3,48,1299.57,0.1,734,0.13,2,stable,0,2024,2024-03
CUST100013,2024-04-14,26,Female,Employed,68442.0,5703.5,50000.0,12.57,60,1126.68,0.26,710,0.066,0,gradual_decline,0,2024,2024-04
CUST100014,2024-02-26,33,Female,Employed,244575.0,20381.25,50000.0,14.88,48,1388.5,0.37,659,0.137,1,stable,0,2024,2024-02
CUST100015,2024-05-11,29,Male,Employed,138822.0,11568.5,50000.0,13.51,36,1697.01,0.42,644,0.193,2,stable,0,2024,2024-05
CUST100016,2023-07-17,40,Female,Employed,59056.0,4921.33,50000.0,11.44,72,963.01,0.39,779,0.425,1,stable,0,2023,2023-07
CUST100017,2022-05-21,36,Male,Self-Employed,122257.0,10188.08,50000.0,9.36,60,1046.68,0.24,687,0.14,3,stable,1,2022,2022-05
CUST100018,2024-07-09,41,Male,Employed,82966.0,6913.83,50000.0,11.21,36,1641.91,0.28,713,0.498,2,stable,0,2024,2024-07
CUST100019,2023-05-09,36,Female,Employed,66794.0,5566.17,50000.0,11.79,60,1106.92,0.25,666,0.561,3,stable,0,2023,2023-05
CUST100020,2023-07-03,21,Male,Employed,118888.0,9907.33,50000.0,11.9,60,1109.7,0.1,710,0.174,2,stable,0,2023,2023-07
CUST100021,2023-02-11,33,Male,Employed,130597.0,10883.08,50000.0,10.38,84,839.91,0.38,728,0.216,0,stable,0,2023,2023-02
CUST100022,2022-07-20,38,Male,Employed,288486.0,24040.5,88848.0,9.34,72,1616.57,0.26,698,0.244,3,stable,0,2022,2022-07
CUST100023,2024-10-12,37,Male,Unemployed,199830.0,16652.5,50600.0,15.78,60,1224.59,0.38,657,0.185,0,stable,0,2024,2024-10
CUST100024,2024-05-06,30,Female,Employed,200123.0,16676.92,62127.0,15.32,60,1488.45,0.48,620,0.31,2,gradual_decline,0,2024,2024-05
CUST100025,2023-12-07,31,Male,Self-Employed,71842.0,5986.83,50000.0,16.06,84,994.81,0.37,737,0.093,2,stable,0,2023,2023-12
CUST100026,2023-03-18,29,Female,Employed,138956.0,11579.67,50000.0,16.13,72,1088.17,0.36,671,0.133,3,stable,0,2023,2023-03
CUST100027,2024-06-20,21,Male,Employed,164920.0,13743.33,50000.0,8.8,84,799.39,0.25,745,0.189,2,stable,0,2024,2024-06
CUST100028,2023-08-21,34,Male,Employed,107140.0,8928.33,50000.0,14.53,36,1721.78,0.23,636,0.249,4,gradual_decline,0,2023,2023-08
CUST100029,2023-05-01,41,Female,Unemployed,82932.0,6911.0,50000.0,12.81,84,904.44,0.22,779,0.322,1,stable,0,2023,2023-05
CUST100030,2023-05-09,31,Female,Employed,103441.0,8620.08,50000.0,11.4,60,1097.12,0.13,647,0.406,1,stable,1,2023,2023-05
CUST100031,2022-09-07,25,Male,Employed,71583.0,5965.25,50000.0,9.54,60,1051.07,0.36,644,0.276,2,stable,0,2022,2022-09
CUST100032,2022-04-11,42,Male,Employed,157889.0,13157.42,50000.0,12.44,84,894.45,0.27,689,0.16,2,stable,1,2022,2022-04
CUST100033,2023-08-31,45,Male,Employed,113762.0,9480.17,50000.0,16.04,60,1216.97,0.18,619,0.536,2,stable,0,2023,2023-08
CUST100034,2024-08-31,31,Male,Employed,219375.0,18281.25,77946.0,12.89,72,1560.17,0.38,687,0.16,2,stable,0,2024,2024-08
CUST100035,2022-03-11,27,Male,Employed,73471.0,6122.58,50000.0,9.56,60,1051.56,0.36,696,0.453,1,stable,0,2022,2022-03
CUST100036,2024-07-29,33,Male,Employed,88985.0,7415.42,50000.0,12.95,48,1340.13,0.2,696,0.385,1,stable,0,2024,2024-07
CUST100037,2024-06-26,37,Male,Employed,72345.0,6028.75,50000.0,13.72,48,1359.31,0.38,669,0.466,2,gradual_decline,0,2024,2024-06
